year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,school_status,lowest_grade_offered,highest_grade_offered,elem_cedp,middle_cedp,high_cedp,enrollment,bureau_indian_education,title_i_eligible,title_i_schoolwide,magnet,shared_time,virtual,lunch_program,teachers_fte,title_i_status,enrollment_crdc,psenrollment_crdc,free_lunch,reduced_price_lunch,free_or_reduced_price_lunch,direct_certification,students_chronically_absent,enrl_IB,enrl_gifted_talented,enrl_AP,enrl_AP_science,enrl_AP_math,enrl_AP_other,students_AP_exam_none,students_AP_exam_oneormore,students_AP_pass_none,students_AP_pass_oneormore,read_test_num_valid,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,psychologists_fte,social_workers_fte,counselors_fte
mixed - most recent,"110007200473","Achievement Preparatory Academy PCS - Wahler Place ES","DC","Achievement Preparatory Academy PCS","Primary","Regular school","Yes","Open","Pre-K","3","Yes","No","No","384","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","38","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","484","151","","","","282","106","","","","","","","","","","","92","7.5","92","12","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000"
mixed - most recent,"110007200405","Achievement Preparatory Academy PCS - Wahler Place MS","DC","Achievement Preparatory Academy PCS","Middle","Regular school","Yes","Open","4","8","Yes","Yes","No","361","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","20","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","475","Not applicable","","","","231","58","","","","","","","","","","","453","21","453","11","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000"
mixed - most recent,"110003000122","Aiton ES","DC","District of Columbia Public Schools","Primary","Regular school","No","Open","Pre-K","5","Yes","No","No","224","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","18","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","243","75","","","","170","72","","","","","","","","","","","76","2.5","76","12","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","0.000","1.000","0.000"
mixed - most recent,"110003000121","Amidon-Bowen ES","DC","District of Columbia Public Schools","Primary","Regular school","No","Open","Pre-K","5","Yes","No","No","335","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","29","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","351","65","","","","196","126","","","","","","","","","","","158","17","160","12","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","1.000","2.000","0.000"
mixed - most recent,"110003000085","Anacostia HS","DC","District of Columbia Public Schools","High","Regular school","No","Open","9","12","No","No","Yes","321","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","38","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","378","Not applicable","","","","232","638","","","55","4","","42","8","47","47","","69","2.5","73","2.5","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","2.000","4.000","2.000"
mixed - most recent,"110005400304","AppleTree Early Learning Center PCS - Columbia Heights","DC","AppleTree Early Learning PCS","Primary","Regular school","Yes","Open","Pre-K","Pre-K","Yes","No","No","147","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes participating without using any Provision or the CEP","33","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","162","162","","","","61","","","","","","","","","","","","","","","","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","0","0","0","0","0","0","0.000","1.000","0.000"
mixed - most recent,"110005400447","AppleTree Early Learning Center PCS - Douglas Knoll","DC","AppleTree Early Learning PCS","Primary","Regular school","Yes","Open","Pre-K","Pre-K","Yes","No","No","89","No","No","No","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","12","School is not eligible for either Title I Targeted Assistance or Schoolwide program","180","181","","","","67","","","","","","","","","","","","","","","","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","0","0","0","0","0","0","0.000","1.000","0.000"
mixed - most recent,"110005400448","AppleTree Early Learning Center PCS - Lincoln Park","DC","AppleTree Early Learning PCS","Primary","Regular school","Yes","Open","Pre-K","Pre-K","Yes","No","No","60","No","No","No","Not applicable","Missing/not reported","No","Yes participating without using any Provision or the CEP","9","School is not eligible for either Title I Targeted Assistance or Schoolwide program","59","59","","","","9","","","","","","","","","","","","","","","","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","0","0","0","0","0","0","0.000","0.500","0.000"
mixed - most recent,"110005400435","AppleTree Early Learning Center PCS - Oklahoma Avenue","DC","AppleTree Early Learning PCS","Primary","Regular school","Yes","Open","Pre-K","Pre-K","Yes","No","No","149","No","No","No","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","27","School is not eligible for either Title I Targeted Assistance or Schoolwide program","143","143","","","","60","","","","","","","","","","","","","","","","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","0","0","0","0","0","0","0.000","1.000","0.000"
mixed - most recent,"110005400517","AppleTree Early Learning Center PCS - Parklands at THEARC","DC","AppleTree Early Learning PCS","Prekindergarten","Regular school","Yes","Open","Pre-K","Pre-K","Yes","No","No","99","","No","No","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","12","School is not eligible for either Title I Targeted Assistance or Schoolwide program","","","","","","64","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
